system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,0.46439628482972134,6.793275956352798,6.856068790097355,0.6298562391854292,0.6292290190240547
canary-v2,100.0,20.925415814476487,25.0,0.8782861224799517,0.0
owsm4.0-ctc,0.46439628482972134,9.942909899418568,9.94729822440413,0.4865443551503468,0.4858963746958104
gemma_whisper,0.0,3.3521680448538747,3.3521680448538747,0.8124273300355433,0.8124273300355433
tower_whisper,0.0,3.41058013994166,3.41058013994166,0.8188326847811601,0.8188326847811601
aya_whisper,0.30959752321981426,3.364807964616885,3.3940021557612314,0.8119179902154225,0.8114311253830745
aya_seamlessm4t,0.0,3.543986683105906,3.543986683105906,0.8105146316551941,0.8105146316551941
gemma_seamlessm4t,0.0,3.55515266823418,3.55515266823418,0.797669521149467,0.797669521149467
tower_seamlessm4t,0.0,3.542669532791749,3.542669532791749,0.810855169760369,0.810855169760369
aya_canary-v2,0.15479876160990713,3.4305021029323246,3.4550962312487257,0.8202363163717207,0.8198975423241363
gemma_canary-v2,0.0,3.2989484061120833,3.2989484061120833,0.8105747479218817,0.8105747479218817
tower_canary-v2,0.0,3.31073091580495,3.31073091580495,0.8221226950225077,0.8221226950225077
aya_owsm4.0-ctc,0.46439628482972134,4.347786954520472,4.395722379832999,0.7426026395230839,0.7419943869944328
gemma_owsm4.0-ctc,0.0,4.393167012108738,4.393167012108738,0.7445079666265393,0.7445079666265393
tower_owsm4.0-ctc,0.0,24.489053906301965,24.489053906301965,0.14546663150329708,0.14546663150329708
desta2-8b,45.975232198142415,11.948262047841453,15.018665227727624,0.4145561693749468,0.3357970498087052
qwen2audio-7b,1.7027863777089782,4.503637164854228,4.58974501382179,0.7327580985385382,0.717654481403322
phi4multimodal,11.76470588235294,5.969193425202517,6.2460969024490645,0.8053433559950292,0.7009570724777762
voxtral-small-24b,0.0,2.788319918970021,2.788319918970021,0.8451964813673828,0.8451964813673828
spirelm,0.0,10.3999988136369,10.3999988136369,0.3710944467792201,0.3710944467792201
