direction,system,METRICX_QE_24_diff,XCOMET_QE_diff
en_it,canary-v2,-1.6898524327077187,0.09214251276129382
en_it,desta2-8b,-1.2467071278929724,0.04906743615609921
en_it,gemma_canary-v2,-1.7740555640663915,0.12478631778890037
en_it,gemma_seamlessm4t,Missing,Missing
en_it,gemma_whisper,-0.7483297268609661,0.04184452138908967
en_it,owsm4.0-ctc,-2.4772314712043837,0.0856873692828837
en_it,phi4multimodal,-3.1336197048978605,0.21443558176323696
en_it,qwen2audio-7b,-1.9670938191876264,0.1257320113597421
en_it,seamlessm4t,-4.474407270593181,0.2273308897997784
en_it,spirelm,-2.182351024445662,0.154525133831504
en_it,voxtral-small-24b,-0.763339263831039,0.03256844517124935
