direction,system,METRICX_QE_24_diff,XCOMET_QE_diff
en_zh,canary-v2,-0.3051149436824634,0.18462413024407998
en_zh,desta2-8b,-1.705395336612022,0.07046589145152976
en_zh,gemma_canary-v2,-1.2420100657779711,0.10550615233861338
en_zh,gemma_seamlessm4t,-1.0902082548202952,0.09786528794062699
en_zh,gemma_whisper,-0.530605538425597,0.05893059558718594
en_zh,owsm4.0-ctc,-2.3408924879449415,0.12243623779702872
en_zh,phi4multimodal,-0.9334325984531437,0.13328193267224925
en_zh,qwen2audio-7b,-0.89959291852744,0.0963048528496222
en_zh,seamlessm4t,-3.1095846870114343,0.1646566099917151
en_zh,spirelm,-0.9644838830866567,0.10523390745939293
en_zh,voxtral-small-24b,-0.5117798825796704,0.03840418240672605
