system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,,,,,
seamlessm4t,2.4806201550387597,17.810882877795272,17.94521050060442,0.3547467329705408,0.3481278479907864
canary-v2,7.751937984496124,18.12003821106844,18.634249720832173,0.3441645672154981,0.3310437908006269
owsm4.0-ctc,18.449612403100776,22.360309770865033,22.919623720923134,0.18061111098689625,0.15222645183057748
gemma_whisper,11.317829457364342,14.880615549817566,15.002910984163137,0.4750149237165271,0.45738600616798153
tower_whisper,10.852713178294573,15.232542324713034,15.35667880385421,0.471750178667464,0.4537459908876308
aya_whisper,7.286821705426356,14.883674661433973,15.017323022965313,0.4742813034228576,0.46402592864609504
aya_seamlessm4t,0.46511627906976744,16.08451252963192,16.10621832119402,0.418610413528459,0.41767177183845244
gemma_seamlessm4t,0.31007751937984496,16.176140018142473,16.178839572940685,0.4157930353815241,0.415404117615648
tower_seamlessm4t,0.9302325581395349,16.270273655167845,16.384687371424928,0.41856128427871436,0.414456712298615
aya_canary-v2,1.8604651162790697,16.872375746244607,16.919702656278314,0.3853203156833039,0.3824132278619349
gemma_canary-v2,4.8062015503875966,16.850928286260874,16.985296572097973,0.38423263837778293,0.37736863422301387
tower_canary-v2,5.5813953488372094,17.06804961483608,17.290269102699074,0.3787579995197381,0.36683169602770216
aya_owsm4.0-ctc,4.8062015503875966,18.97835443990175,19.134452430129976,0.2967568062310822,0.2891766503229449
gemma_owsm4.0-ctc,12.248062015503876,19.261843428870502,19.566705199914384,0.2954704934889956,0.2771034183659295
tower_owsm4.0-ctc,14.728682170542637,19.361853300601013,19.8594599222028,0.2974824141624362,0.2664355856503627
desta2-8b,2.4806201550387597,19.64530545815017,19.66852831785069,0.28589506574956947,0.2824664753479089
qwen2audio-7b,1.550387596899225,13.647230174282724,13.833763630907665,0.4757399131854375,0.46782832623914233
phi4multimodal,42.7906976744186,14.431767845939296,16.54287759019423,0.604339182596336,0.3685782202570013
voxtral-small-24b,1.3953488372093024,10.82142453763143,10.988461976608102,0.5982904288499046,0.5908534029498697
spirelm,3.4108527131782944,21.650205719008927,21.944891158924545,0.16378445594549873,0.15732094939336067
