system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
canary-v2,AUSTRALIAN ENGLISH,8.0,3.049608580246568,4.617723474875093,0.9444741535186768,0.8750558483600617
canary-v2,CANADIAN ENGLISH,5.0,4.021950798630715,5.14886123418808,0.9186898866295814,0.869645314514637
canary-v2,ENGLAND ENGLISH,8.0,4.936171841472388,6.386345076709985,0.8779505543410778,0.8192880390584469
canary-v2,FILIPINO,7.000000000000001,3.8689000768214465,5.324630603864789,0.9224087518453598,0.8580415195226669
canary-v2,GERMAN ENGLISH NON NATIVE SPEAKER,11.0,3.9668107077479364,6.359448619484901,0.9265604548528791,0.822648842819035
canary-v2,HONG KONG ENGLISH,6.0,3.9347144670411947,5.268128337971866,0.8918847906589508,0.8357913506031036
canary-v2,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,5.0,4.857189231961965,5.711221664994955,0.8857321713864803,0.8490621300041675
canary-v2,IRISH ENGLISH,12.0,4.2606781622767445,6.666483375728131,0.9174988383799791,0.8136960167437792
canary-v2,MALAYSIAN ENGLISH,6.0,4.883214440345764,5.903905367851257,0.8600979739427567,0.8230773285031319
canary-v2,NEW ZEALAND ENGLISH,7.000000000000001,3.5082802376151085,4.909262633025646,0.9236938279867172,0.8735018742084503
canary-v2,SCOTTISH ENGLISH,5.0,3.380946455001831,4.513823714852333,0.9407925578951836,0.8915160593390464
canary-v2,SINGAPOREAN ENGLISH,8.0,3.914293873012066,5.378085136115551,0.8981445232033729,0.836853415518999
canary-v2,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,4.0,3.1357503162696956,3.897779644615948,0.925555012524128,0.8969324532151223
canary-v2,UNITED STATES ENGLISH,4.0,4.823582431748509,5.535652424767614,0.8656763890385628,0.8433662094175816
desta2-8b,AUSTRALIAN ENGLISH,6.0,5.176750287115574,6.082628739178181,0.8374442955851555,0.8025165377557277
desta2-8b,CANADIAN ENGLISH,5.0,6.690586452931166,7.791674889177084,0.8039502085745335,0.7544402243196964
desta2-8b,ENGLAND ENGLISH,4.0,7.4667220878601075,8.097539250850678,0.7019074254482984,0.6741332819312811
desta2-8b,FILIPINO,9.0,7.64307820148766,9.164546608999371,0.7412842496484519,0.6838152913749218
desta2-8b,GERMAN ENGLISH NON NATIVE SPEAKER,8.0,6.593409428596496,8.097574071884155,0.8072344541549683,0.7412982988357544
desta2-8b,HONG KONG ENGLISH,8.0,6.919911697693169,7.998633962459862,0.7466589464247226,0.702767666131258
desta2-8b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,2.0,8.864606203138829,9.096394380629063,0.6663137110322714,0.6608801483362913
desta2-8b,IRISH ENGLISH,7.000000000000001,6.621055086553096,7.945688221156598,0.7627469407022,0.7198475863039494
desta2-8b,MALAYSIAN ENGLISH,4.0,12.729094569087028,12.794636332392692,0.5062627762556076,0.5000457479059697
desta2-8b,NEW ZEALAND ENGLISH,4.0,6.517287291288376,7.074494060277939,0.7949607119709253,0.7723629017919302
desta2-8b,SCOTTISH ENGLISH,7.000000000000001,6.011761922240257,7.400744199454785,0.8045631305873394,0.7460173915326596
desta2-8b,SINGAPOREAN ENGLISH,7.000000000000001,11.502674987912178,12.399974485039712,0.5765692618489265,0.5514190950989724
desta2-8b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,3.0,7.305646680481732,7.780593747980893,0.7522544448077678,0.7329395724833012
desta2-8b,UNITED STATES ENGLISH,2.0,6.80426903128624,7.248995691537857,0.7661025934666396,0.7463722639530898
phi4multimodal,AUSTRALIAN ENGLISH,12.0,4.26520339846611,6.278072358369827,0.934738672375679,0.8228976166248322
phi4multimodal,CANADIAN ENGLISH,15.0,5.745612884759903,7.364951226711273,0.896188438013196,0.7697019666433335
phi4multimodal,ENGLAND ENGLISH,35.0,8.81190740019083,12.340472476184368,0.8977405516803265,0.5726428401470184
phi4multimodal,FILIPINO,19.0,6.345709217190742,8.407258362174034,0.90689198538661,0.7280564127862453
phi4multimodal,GERMAN ENGLISH NON NATIVE SPEAKER,18.0,5.139965357035399,7.7497026713192465,0.9241652983427048,0.7561040407419205
phi4multimodal,HONG KONG ENGLISH,22.0,6.10062706399709,8.759392285831273,0.9138492664694786,0.709466100037098
phi4multimodal,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,34.0,9.551852549016475,12.386284182965756,0.8665236619114876,0.5689191645383835
phi4multimodal,IRISH ENGLISH,24.0,6.138414195626974,9.466408473104238,0.8732175566256046,0.6682072512805461
phi4multimodal,MALAYSIAN ENGLISH,25.0,8.070183839052916,10.423393208831548,0.8510958224534988,0.6358797803521157
phi4multimodal,NEW ZEALAND ENGLISH,18.0,6.216719565987587,8.079536054730415,0.9055826604366303,0.7468533390760421
phi4multimodal,SCOTTISH ENGLISH,12.0,4.4354041214287285,6.311279483586549,0.9286824747920036,0.8161714085936547
phi4multimodal,SINGAPOREAN ENGLISH,15.0,6.463444623649121,8.300956999957561,0.8817296230047941,0.746398100182414
phi4multimodal,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,12.0,5.4222773491218685,6.749925271160901,0.8888585145771504,0.7808790467679501
phi4multimodal,UNITED STATES ENGLISH,26.0,8.006869240105152,10.470880911648273,0.8365129534900189,0.6396677920222282
qwen2audio-7b,AUSTRALIAN ENGLISH,5.0,4.204477821290493,5.245315100848675,0.887804566025734,0.8503421348333359
