system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
qwen2audio-7b,IRISH ENGLISH,6.0,5.556611402332782,6.710946616232395,0.7809491699934006,0.7303036960959435
qwen2audio-7b,MALAYSIAN ENGLISH,4.0,5.8535659250617025,6.25624844878912,0.7409576744586229,0.7200087498128415
qwen2audio-7b,NEW ZEALAND ENGLISH,2.0,4.693717924579978,4.940153669938445,0.805313596278429,0.78552793815732
qwen2audio-7b,SCOTTISH ENGLISH,4.0,3.5907016643881797,4.499910767376423,0.8535565055906773,0.8146967609226704
qwen2audio-7b,SINGAPOREAN ENGLISH,4.0,4.6972955468297,5.482857651114464,0.8281721289455891,0.7936670835316181
qwen2audio-7b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,3.0,4.112407683432102,4.541203054487705,0.8507309503108264,0.8284382779151201
qwen2audio-7b,UNITED STATES ENGLISH,1.0,5.851838088333607,5.857222895920277,0.7699073281884193,0.7599073281884193
seamlessm4t,AUSTRALIAN ENGLISH,4.0,1.8576483082771302,2.8191047620773317,0.9745296537876129,0.9362887644767761
seamlessm4t,CANADIAN ENGLISH,1.0,2.922615625858307,3.1323858952522277,0.9259890404343605,0.9163103279471397
seamlessm4t,ENGLAND ENGLISH,2.0,4.120189706683159,4.4596422392129895,0.8578572054207325,0.851354528516531
seamlessm4t,FILIPINO,3.0,2.2559152643382547,2.8807574085891248,0.9532244193553925,0.9271109211444855
seamlessm4t,GERMAN ENGLISH NON NATIVE SPEAKER,2.0,2.508782104551792,2.999076054096222,0.9437127178907394,0.9237127178907394
seamlessm4t,HONG KONG ENGLISH,3.0,2.0947204259037973,2.8288076254725456,0.9610940340161324,0.9312854197621345
seamlessm4t,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,2.0,3.8878886395692827,4.255245154500008,0.8328367160260677,0.8233566503226757
seamlessm4t,IRISH ENGLISH,5.0,2.530287674665451,3.6555926954746245,0.9349158358573914,0.8899326699972153
seamlessm4t,MALAYSIAN ENGLISH,1.0,2.6014139217138292,2.651409325003624,0.9358626563847064,0.933477318584919
seamlessm4t,NEW ZEALAND ENGLISH,3.0,2.164586639627814,2.8487393292039633,0.9479010128974914,0.9179951393604279
seamlessm4t,SCOTTISH ENGLISH,2.0,1.842230567932129,2.3052529066801073,0.9635196042060852,0.9435196042060852
seamlessm4t,SINGAPOREAN ENGLISH,4.0,2.342261266708374,3.172696726620197,0.9536749155819416,0.9230346044898033
seamlessm4t,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,2.0,1.9008378979563714,2.3498676750063896,0.9607707303762436,0.9413017332553864
seamlessm4t,UNITED STATES ENGLISH,1.0,3.578609045445919,3.6912013134360313,0.8767352165281772,0.8702570964396
voxtral-small-24b,AUSTRALIAN ENGLISH,3.0,2.127364319264889,2.8174541518092155,0.9448703071475029,0.9174621120095253
voxtral-small-24b,CANADIAN ENGLISH,0.0,3.3551741525530816,3.3551741525530816,0.9087558262050152,0.9087558262050152
voxtral-small-24b,ENGLAND ENGLISH,1.0,3.9726006066799164,4.077403119802475,0.8695956021547318,0.8680110014975071
voxtral-small-24b,FILIPINO,5.0,2.8250211614370344,3.8153961700201036,0.8912495467066764,0.8526039907336235
voxtral-small-24b,GERMAN ENGLISH NON NATIVE SPEAKER,3.0,2.8500742967426778,3.3787367255985736,0.9169686457514763,0.8953501212596894
voxtral-small-24b,HONG KONG ENGLISH,3.0,2.8132061728835107,3.510273287296295,0.882517566382885,0.8553903624415398
voxtral-small-24b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,3.0,4.214846439063549,4.669452757537365,0.7958248909562826,0.786240934804082
voxtral-small-24b,IRISH ENGLISH,8.0,2.8376836422085763,4.578248188793659,0.9030876220762729,0.8413230232894421
voxtral-small-24b,MALAYSIAN ENGLISH,0.0,3.6140735614299775,3.6140735614299775,0.8356778331845999,0.8356778331845999
voxtral-small-24b,NEW ZEALAND ENGLISH,1.0,2.781326971873641,3.027802114710212,0.8974201661348343,0.8875759238004685
voxtral-small-24b,SCOTTISH ENGLISH,3.0,2.112475491464138,2.826927997171879,0.946139055788517,0.9162002363801003
voxtral-small-24b,SINGAPOREAN ENGLISH,4.0,2.881501001119614,3.6520223334431647,0.9089532700181008,0.8755507716536521
voxtral-small-24b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.0,2.7079314255714415,2.7079314255714415,0.9016155962646007,0.9016155962646007
voxtral-small-24b,UNITED STATES ENGLISH,2.0,3.403852151632309,3.782992693185806,0.8706965488940477,0.8530111867934466
