system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
qwen2audio-7b,IRISH ENGLISH,11.0,5.289772270619869,6.961329828202724,0.8401244351267815,0.760240707397461
qwen2audio-7b,MALAYSIAN ENGLISH,4.0,6.231593190655112,6.944905246719718,0.8030795433372259,0.77244987629354
qwen2audio-7b,NEW ZEALAND ENGLISH,4.0,4.887799685299396,5.3364300706982615,0.8402038688957691,0.8097467882931233
qwen2audio-7b,SCOTTISH ENGLISH,5.0,3.5778732562065123,4.63207035779953,0.8882885748147964,0.8450047290325164
qwen2audio-7b,SINGAPOREAN ENGLISH,3.0,4.99030926078558,5.403413048684597,0.8149578159302473,0.7980001241713762
qwen2audio-7b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,6.0,3.788895470574498,5.028797599151731,0.8740293325483799,0.8299733090400696
qwen2audio-7b,UNITED STATES ENGLISH,6.0,5.547999395430088,6.459856335222721,0.8216918685287237,0.7818303801119327
seamlessm4t,AUSTRALIAN ENGLISH,5.0,2.0496659848093985,3.21705974906683,0.9711986863613129,0.9227482825517654
seamlessm4t,CANADIAN ENGLISH,5.0,2.7369003538787364,3.6255114664137364,0.9511176438629627,0.9103144985437394
seamlessm4t,ENGLAND ENGLISH,1.0,4.085932559967041,4.276233177185059,0.8914128686487675,0.881679015904665
seamlessm4t,FILIPINO,7.000000000000001,2.009435060285032,3.5989211850985883,0.9676038593053817,0.9018547374010086
seamlessm4t,GERMAN ENGLISH NON NATIVE SPEAKER,4.0,2.4510692678019406,3.414199263267219,0.9524608236551285,0.9124608236551285
seamlessm4t,HONG KONG ENGLISH,6.0,1.7906602181494236,3.164794675856829,0.959400971531868,0.9008643621206284
seamlessm4t,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,1.0,3.4219700385257603,3.625268311612308,0.8906042052805424,0.8841965128481388
seamlessm4t,IRISH ENGLISH,8.0,2.673883649110794,4.52149836063385,0.933789521753788,0.8623555412888527
seamlessm4t,MALAYSIAN ENGLISH,2.0,2.2575348317995667,2.7005851364508273,0.9676504397392273,0.9499247241020202
seamlessm4t,NEW ZEALAND ENGLISH,5.0,2.3607098396122455,3.3267236717045305,0.950646233856678,0.9049619016051292
seamlessm4t,SCOTTISH ENGLISH,3.0,1.7296521617472171,2.456212515383959,0.9615423354506493,0.931777614057064
seamlessm4t,SINGAPOREAN ENGLISH,2.0,2.1671980249881746,2.629304474592209,0.9584418299794197,0.9385590806603432
