system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,0.4807692307692308,3.690051201498136,3.762945339137402,0.7609459182534081,0.7600552118025147
aya_owsm4.0-ctc,0.7211538461538461,3.8973351766068776,4.032444995505592,0.7527123968331859,0.750949916179077
aya_seamlessm4t,0.7211538461538461,3.825902366527141,3.946311494138522,0.750500296582826,0.7492534756624641
aya_whisper,0.0,3.1905934940128087,3.1905934940128087,0.8000244801290907,0.8000244801290907
canary-v2,100.0,18.823115198658062,25.0,0.8661707853540205,0.0
desta2-8b,20.432692307692307,7.658102143161859,9.636342147687593,0.5198053909788052,0.48021065468828267
gemma_canary-v2,0.0,3.628675243584439,3.628675243584439,0.7624944484291168,0.7624944484291168
gemma_owsm4.0-ctc,0.2403846153846154,3.9841297247017233,4.035569403141451,0.7545694535454879,0.7541629423100787
gemma_seamlessm4t,0.0,3.8222450491470785,3.8222450491470785,0.7606659398342555,0.7606659398342555
gemma_whisper,0.0,3.2676777336746454,3.2676777336746454,0.7986234415035981,0.7986234415035981
owsm4.0-ctc,0.0,6.84860426456166,6.84860426456166,0.6287479177475549,0.6287479177475549
phi4multimodal,18.269230769230766,6.060011463006958,7.564317824659296,0.805499643409768,0.6541419320811446
qwen2audio-7b,1.4423076923076923,4.736692873689417,4.881359017024247,0.7144166203036618,0.7062763775018259
seamlessm4t,7.451923076923077,6.192673621126092,6.920488120128329,0.7081057130932235,0.6491339960708641
spirelm,0.0,6.101230720989406,6.101230720989406,0.5654559699424471,0.5654559699424471
tower_canary-v2,0.2403846153846154,3.6495428136012587,3.6750270591583103,0.765100393211469,0.7637419514895345
tower_owsm4.0-ctc,0.0,4.177880844889352,4.177880844889352,0.7427496157156733,0.7427496157156733
tower_seamlessm4t,0.0,3.9535231564301423,3.9535231564301423,0.7520961791205292,0.7520961791205292
tower_whisper,0.0,3.2628022784617943,3.2628022784617943,0.7901242892974272,0.7901242892974272
voxtral-small-24b,0.0,3.053402990371419,3.053402990371419,0.8058158131674505,0.8058158131674505
