system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,0.6528835690968444,3.070710831817333,3.1718114613270605,0.7864745889625171,0.7840573646541649
aya_owsm4.0-ctc,0.9793253536452665,3.8058357834045786,3.941678342272622,0.7326303797250084,0.7291376350105003
aya_seamlessm4t,1.8498367791077257,4.4764991301487855,4.731529313868259,0.6821922647287426,0.6782356378530133
aya_whisper,1.088139281828074,2.936752559692154,3.0895953745184968,0.7954702860259241,0.791081902631827
canary-v2,100.0,18.002705439681975,25.0,0.6315004078426091,0.0
desta2-8b,16.2132752992383,7.538834139927654,9.279973150511658,0.5329133454138683,0.500300549007182
gemma_canary-v2,0.2176278563656148,3.060128682200778,3.0821830192550417,0.7859630931748465,0.7849872137285097
gemma_owsm4.0-ctc,0.0,3.491712454256477,3.491712454256477,0.756215831303363,0.756215831303363
gemma_seamlessm4t,1.3057671381936888,4.363984537044372,4.510221722178056,0.6845888018089228,0.6815922057602688
gemma_whisper,0.2176278563656148,2.7562536768680106,2.8054824548209,0.8010343107535738,0.7993236929259311
owsm4.0-ctc,0.2176278563656148,7.220403804069829,7.264810468194859,0.6061250484985288,0.6044622073933011
phi4multimodal,14.798694232861806,5.927435059355768,6.891493465787892,0.7778159742191905,0.6567912159631509
qwen2audio-7b,1.088139281828074,4.254040369640334,4.397067885902651,0.7072708678337561,0.7025324532861484
seamlessm4t,7.290533188248095,8.572622405229312,9.34310900807478,0.5177350485529163,0.4856769257712546
spirelm,0.2176278563656148,6.901318324298088,6.926548208996767,0.5265531870612512,0.5258769510279413
tower_canary-v2,0.4352557127312296,3.055243150291557,3.138179869432574,0.7922182139394333,0.7897679518433987
tower_owsm4.0-ctc,0.3264417845484222,3.583655248350495,3.65383790498265,0.7484859072474582,0.7460258260644947
tower_seamlessm4t,1.7410228509249184,4.431043959683835,4.653475265516225,0.6955423869731734,0.6923678149656678
tower_whisper,0.4352557127312296,2.7261205754679616,2.8198508810296543,0.8088726867578104,0.8061283559693475
voxtral-small-24b,0.3264417845484222,2.7653185290824602,2.818781640068491,0.8096993745561036,0.8076527164428129
