system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,0.24291497975708504,2.19064844132435,2.2320115049358322,0.9442508915235639,0.9428726685915881
canary-v2,0.4858299595141701,2.6323117590354763,2.730718924047855,0.9294483337747423,0.9253962976488507
desta2-8b,2.186234817813765,8.629482858229865,8.87434878839474,0.6378400566833101,0.6307110553298161
gemma_canary-v2,0.24291497975708504,2.3194848992594097,2.3709513321971363,0.9396451334540661,0.9379415628881107
gemma_owsm4.0-ctc,0.32388663967611336,2.7423066341985574,2.819473564425702,0.9182854086643288,0.9157304055053695
gemma_seamlessm4t,0.24291497975708504,2.603616198984838,2.643679160473921,0.9258104269321148,0.924102195711271
gemma_whisper,0.32388663967611336,2.4581941455391494,2.523178418858452,0.9298155904721151,0.9272985971649649
owsm4.0-ctc,1.1336032388663968,14.31906029153389,14.453295183407995,0.4746028957066507,0.4693291189850342
phi4multimodal,26.396761133603242,9.228551079438404,10.677436415051762,0.8524735096796804,0.6162953998154475
qwen2audio-7b,1.214574898785425,4.658263511913508,4.806687330355046,0.837839453251135,0.8297780855675699
seamlessm4t,3.724696356275304,8.29155393738737,8.54371990010082,0.798134297571194,0.768035129712412
spirelm,0.8097165991902834,3.508443559670014,3.657110801176262,0.8598210557571306,0.8570825423004657
tower_canary-v2,0.32388663967611336,1.9611573751397462,2.0265321801186573,0.9494976321273004,0.9472892879233187
tower_owsm4.0-ctc,0.32388663967611336,2.4304256751258606,2.4923242135719974,0.9314030401227686,0.9288939217113049
tower_seamlessm4t,0.24291497975708504,2.242352504234927,2.285915040134298,0.9360273272945331,0.9342168909516412
tower_whisper,0.24291497975708504,2.098265380795427,2.1575093517479624,0.9416833174494114,0.9392933430097363
voxtral-small-24b,0.24291497975708504,2.2036361631021086,2.260834703998648,0.9351844632311871,0.9328425012740046
