system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,0.1596169193934557,1.2838120913788593,1.3147605127831126,0.9639122902288593,0.9630312769415849
canary-v2,0.1596169193934557,1.8750910571429222,1.9112643001204193,0.9479133105061573,0.9470295154468021
desta2-8b,0.8778930566640064,6.605311019184084,6.702516453116181,0.6962300726500208,0.6935253568939086
gemma_canary-v2,0.1596169193934557,1.5034762404781765,1.5344246618824298,0.9581851866705743,0.9573041733832999
gemma_owsm4.0-ctc,0.23942537909018355,1.87552719413699,1.9230494038941426,0.9467118030617643,0.9451684276829789
gemma_seamlessm4t,0.23942537909018355,1.7400604045079502,1.774868899960805,0.94963475085456,0.9481923802616781
gemma_whisper,0.07980845969672785,1.583036243766903,1.6027450105509848,0.9542666218776467,0.9534685372806794
owsm4.0-ctc,0.23942537909018355,9.175034565370938,9.21445653910458,0.7501530408240848,0.7485912183131681
phi4multimodal,21.707901037509977,5.970193762344094,7.08541203873843,0.9407235889889579,0.7407564396679354
qwen2audio-7b,1.1971268954509178,2.8251172105223534,3.0597474535708655,0.9157737131986443,0.9061994569856267
seamlessm4t,3.2721468475658417,7.378416438565455,7.646013888795782,0.8453116083349691,0.8166771831387819
spirelm,0.39904229848363926,2.8701547734403694,2.940776048714246,0.8964427244230355,0.894275972338695
tower_canary-v2,0.1596169193934557,1.2558484548065108,1.286796876210764,0.9649596672329728,0.9640786539456984
tower_owsm4.0-ctc,0.23942537909018355,1.691548573553372,1.7263294428955624,0.9510045039860706,0.9494989898118227
tower_seamlessm4t,0.3192338387869114,1.570368560769871,1.6123205137313459,0.9551273203987839,0.953497196167874
tower_whisper,0.07980845969672785,1.3986324527124738,1.4183412194965557,0.9597038610259343,0.958905776428967
voxtral-small-24b,0.1596169193934557,1.3960325838990528,1.4310946471198311,0.9577698506718146,0.9563675310049453
