system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,0.0,91.42793313521197,91.42793313521197,0.9282947588964539,0.9282947588964539
aya_owsm4.0-ctc,0.35398230088495575,88.97574978937618,88.71282088574583,0.9021257169775467,0.8996917380465079
aya_seamlessm4t,0.08849557522123894,89.60343256189232,89.52343715927769,0.9109545498196266,0.9106892270753078
aya_whisper,0.2654867256637168,90.1065557258319,89.88573169940341,0.9136016393921017,0.9117309296816851
canary-v2,0.08849557522123894,88.56685316760456,88.52231095625763,0.904225478611425,0.9041330737811801
desta2-8b,1.592920353982301,65.07634325892525,64.38775793830905,0.5796659326279717,0.57625045709279
gemma_canary-v2,0.17699115044247787,90.87455331585576,90.78091940418281,0.9225516461824949,0.9216757934837214
gemma_owsm4.0-ctc,0.17699115044247787,88.50442523711023,88.41455300685051,0.8956535492281932,0.8946873474066698
gemma_seamlessm4t,0.0,89.55667680417542,89.55667680417542,0.9073029049952407,0.9073029049952407
gemma_whisper,0.08849557522123894,90.09530863007613,90.01274397948147,0.9107321396140399,0.9098908868313363
owsm4.0-ctc,0.9734513274336283,51.752586977724484,51.17345890561036,0.5150015191549014,0.5120060884701788
phi4multimodal,12.389380530973451,77.23820719961572,74.21960572552892,0.8767365644232625,0.7660275809170134
qwen2audio-7b,1.1504424778761062,83.1949145549694,82.48686651429244,0.8350214306693688,0.8252913856862393
qwen3omni,0.17699115044247787,91.08770184851853,90.9252217980349,0.9175773625682413,0.9163312691568801
seamlessm4t,3.0973451327433628,69.66942536071338,68.92724805574501,0.787228100199615,0.7641707706372295
spirelm,0.08849557522123894,83.60257636422077,83.53069418550065,0.8086863026550386,0.80802212113564
tower_canary-v2,0.17699115044247787,90.78910988089258,90.6775472613035,0.9257528308482297,0.925099288705176
tower_owsm4.0-ctc,0.35398230088495575,88.8071944499174,88.577717990448,0.9032047708840233,0.9006362141794072
tower_seamlessm4t,0.17699115044247787,89.47211409627863,89.38078613365646,0.9108995526204858,0.909900251146307
tower_whisper,0.08849557522123894,90.1058846250572,90.02212131809344,0.9140871689382908,0.9135300869435335
voxtral-small-24b,0.2654867256637168,90.25254958620114,90.01367534995079,0.9168430859470262,0.9144272479269885
whisper,,,,,
