system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
aya_canary-v2,BEI,0.0,12.95544015036689,12.95544015036689,0.17967327678990033,0.17967327678990033
aya_canary-v2,CHD,0.0,9.91481556892395,9.91481556892395,0.1380769735900685,0.1380769735900685
aya_canary-v2,CMN,11.11111111111111,13.844482898712158,14.370310809877184,0.17093454140962827,0.15225987824507886
aya_canary-v2,JNN,0.0,13.800574159622192,13.800574159622192,0.16247439412400128,0.16247439412400128
aya_canary-v2,TYN,0.0,14.477742024830409,14.477742024830409,0.16265861144555466,0.16265861144555466
aya_canary-v2,WHN,8.333333333333332,16.690460046132404,16.690460046132404,0.17713576958825192,0.1580071228866776
aya_canary-v2,XIA,0.0,14.565342366695404,14.565342366695404,0.20672657433897257,0.20672657433897257
aya_owsm4.0-ctc,BEI,0.0,11.4953490363227,11.4953490363227,0.5296255780590905,0.5296255780590905
aya_owsm4.0-ctc,CHD,0.0,20.087562465667723,20.087562465667723,0.20066714361310006,0.20066714361310006
aya_owsm4.0-ctc,CMN,0.0,10.3108215894964,10.3108215894964,0.539039940883716,0.539039940883716
aya_owsm4.0-ctc,JNN,0.0,12.745674538612366,12.745674538612366,0.25851007774472234,0.25851007774472234
aya_owsm4.0-ctc,TYN,0.0,20.281172888619558,20.281172888619558,0.19599862662809237,0.19599862662809237
aya_owsm4.0-ctc,WHN,0.0,14.348657608032227,14.348657608032227,0.18114111743246517,0.18114111743246517
aya_owsm4.0-ctc,XIA,12.5,11.203447878360748,12.267278969287872,0.15168409049510956,0.13556073233485222
aya_seamlessm4t,BEI,0.0,10.468921807077196,10.468921807077196,0.5313348265157806,0.5313348265157806
aya_seamlessm4t,CHD,0.0,11.829158782958984,11.829158782958984,0.35958569422364234,0.35958569422364234
aya_seamlessm4t,CMN,0.0,10.546696341700024,10.546696341700024,0.5496050400866402,0.5496050400866402
aya_seamlessm4t,JNN,0.0,11.044742774963378,11.044742774963378,0.3738110139966011,0.3738110139966011
